@relation 'mxmh_survey_results-weka.filters.unsupervised.attribute.Remove-R1,33-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C32-Llast-weka.filters.unsupervised.attribute.Remove-R32,33-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last-precision6'

@attribute Age {'\'(-inf-14.8]\'','\'(14.8-19.6]\'','\'(19.6-24.4]\'','\'(24.4-29.2]\'','\'(29.2-34]\'','\'(34-38.8]\'','\'(38.8-43.6]\'','\'(43.6-48.4]\'','\'(48.4-53.2]\'','\'(53.2-inf)\''}
@attribute 'Primary streaming service' {Spotify,Pandora,'YouTube Music','I do not use a streaming service.','Apple Music','Other streaming service'}
@attribute 'Hours per day' {'\'(-inf-1.4]\'','\'(1.4-2.8]\'','\'(2.8-4.2]\'','\'(4.2-5.6]\'','\'(5.6-7]\'','\'(7-8.4]\'','\'(8.4-inf)\''}
@attribute 'While working' {Yes,No}
@attribute Instrumentalist {Yes,No}
@attribute Composer {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute 'Foreign languages' {Yes,No}
@attribute BPM {'\'(-inf-22]\'','\'(22-44]\'','\'(44-66]\'','\'(66-88]\'','\'(88-110]\'','\'(110-132]\'','\'(132-154]\'','\'(154-inf)\''}
@attribute 'Frequency [Classical]' {Rarely,Sometimes,Never,'Very frequently'}
@attribute 'Frequency [Country]' {Never,Sometimes,'Very frequently',Rarely}
@attribute 'Frequency [EDM]' {Rarely,Never,'Very frequently',Sometimes}
@attribute 'Frequency [Folk]' {Never,Rarely,Sometimes,'Very frequently'}
@attribute 'Frequency [Gospel]' {Never,Sometimes,Rarely,'Very frequently'}
@attribute 'Frequency [Hip hop]' {Sometimes,Rarely,Never,'Very frequently'}
@attribute 'Frequency [Jazz]' {Never,'Very frequently',Rarely,Sometimes}
@attribute 'Frequency [K pop]' {'Very frequently',Rarely,Sometimes,Never}
@attribute 'Frequency [Latin]' {'Very frequently',Sometimes,Never,Rarely}
@attribute 'Frequency [Lofi]' {Rarely,Sometimes,'Very frequently',Never}
@attribute 'Frequency [Metal]' {Never,Sometimes,Rarely,'Very frequently'}
@attribute 'Frequency [Pop]' {'Very frequently',Sometimes,Rarely,Never}
@attribute 'Frequency [R&B]' {Sometimes,Never,'Very frequently',Rarely}
@attribute 'Frequency [Rap]' {'Very frequently',Rarely,Never,Sometimes}
@attribute 'Frequency [Rock]' {Never,'Very frequently',Rarely,Sometimes}
@attribute 'Frequency [Video game music]' {Sometimes,Rarely,'Very frequently',Never}
@attribute Anxiety {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-inf)\''}
@attribute Depression {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-inf)\''}
@attribute Insomnia {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute OCD {'\'(-inf-1]\'','\'(1-2]\'','\'(2-3]\'','\'(3-4]\'','\'(4-5]\'','\'(5-6]\'','\'(6-7]\'','\'(7-8]\'','\'(8-9]\'','\'(9-inf)\''}
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,Yes,Metal,Yes,No,'\'(132-154]\'',Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Never,Sometimes,'Very frequently','Very frequently',Rarely,Sometimes,'Very frequently',Sometimes,'\'(2-3]\'','\'(2-3]\'','\'(6-7]\'','\'(-inf-1]\'','No effect'
'\'(24.4-29.2]\'',Spotify,'\'(8.4-inf)\'',Yes,No,No,Metal,Yes,Yes,'\'(154-inf)\'',Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,'Very frequently','Very frequently',Sometimes,Sometimes,'Very frequently',Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(-inf-1.4]\'',No,No,Yes,Metal,Yes,Yes,'\'(154-inf)\'',Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,'Very frequently',Sometimes,Rarely,Rarely,'Very frequently',Never,'\'(5-6]\'','\'(3-4]\'','\'(-inf-1]\'','\'(2-3]\'','No effect'
'\'(24.4-29.2]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Metal,Yes,Yes,'\'(154-inf)\'',Sometimes,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,'Very frequently',Never,Rarely,Sometimes,Sometimes,Rarely,'\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Rock,No,No,'\'(88-110]\'',Never,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,'Very frequently',Sometimes,Never,Sometimes,'Very frequently',Sometimes,'\'(4-5]\'','\'(4-5]\'','\'(3-4]\'','\'(3-4]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,No,'K pop',Yes,Yes,'\'(110-132]\'',Sometimes,Never,Never,'Very frequently',Rarely,Rarely,Rarely,'Very frequently',Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(5-6]\'','\'(-inf-1]\'',Improve
'\'(38.8-43.6]\'','YouTube Music','\'(1.4-2.8]\'',Yes,Yes,No,Rock,No,Yes,'\'(132-154]\'',Sometimes,Rarely,'Very frequently',Rarely,Never,Sometimes,'Very frequently',Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(6-7]\'','\'(5-6]\'',Improve
'\'(14.8-19.6]\'','YouTube Music','\'(4.2-5.6]\'',Yes,No,No,Metal,No,Yes,'\'(132-154]\'',Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,'Very frequently','Very frequently',Never,Never,Sometimes,'Very frequently',Sometimes,'\'(-inf-1]\'','\'(4-5]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(19.6-24.4]\'','Apple Music','\'(1.4-2.8]\'',Yes,No,No,Pop,Yes,No,'\'(132-154]\'',Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,'Very frequently',Sometimes,Rarely,Sometimes,Rarely,'\'(5-6]\'','\'(2-3]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(1.4-2.8]\'',No,No,Yes,Metal,No,No,'\'(132-154]\'',Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,'Very frequently',Rarely,Never,Never,Sometimes,Rarely,'\'(-inf-1]\'','\'(6-inf)\'','\'(4-5]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'','I do not use a streaming service.','\'(1.4-2.8]\'',No,Yes,Yes,'Video game music',Yes,No,'\'(110-132]\'',Sometimes,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,'\'(3-4]\'','\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,R&B,No,Yes,'\'(154-inf)\'',Sometimes,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,'Very frequently','Very frequently',Rarely,Never,Never,'\'(4-5]\'','\'(5-6]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(29.2-34]\'',Spotify,'\'(-inf-1.4]\'',Yes,No,No,Rock,Yes,Yes,'\'(110-132]\'',Rarely,Never,'Very frequently',Never,Never,Never,Never,'Very frequently',Never,Rarely,'Very frequently',Rarely,Never,Never,'Very frequently','Very frequently','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(14.8-19.6]\'','YouTube Music','\'(1.4-2.8]\'',Yes,No,No,Pop,Yes,No,'\'(110-132]\'',Never,Rarely,Rarely,Never,Never,Rarely,'Very frequently',Sometimes,Rarely,'Very frequently',Never,'Very frequently',Sometimes,Rarely,Rarely,'Very frequently','\'(6-inf)\'','\'(5-6]\'','\'(4-5]\'','\'(1-2]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(4.2-5.6]\'',Yes,Yes,Yes,Folk,Yes,Yes,'\'(110-132]\'',Sometimes,Rarely,Never,'Very frequently',Rarely,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,'Very frequently',Sometimes,Rarely,'Very frequently',Rarely,'\'(6-inf)\'','\'(3-4]\'','\'(-inf-1]\'','\'(2-3]\'',Improve
'\'(34-38.8]\'',Spotify,'\'(-inf-1.4]\'',No,No,No,Rock,Yes,Yes,'\'(110-132]\'',Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,'Very frequently',Sometimes,Rarely,'Very frequently',Never,'\'(3-4]\'','\'(5-6]\'','\'(5-6]\'','\'(3-4]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Rock,No,Yes,'\'(110-132]\'',Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Rarely,'Very frequently','Very frequently','\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'','\'(4-5]\'',Improve
'\'(34-38.8]\'','Other streaming service','\'(-inf-1.4]\'',No,No,No,Pop,No,No,'\'(110-132]\'',Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Never,'Very frequently',Rarely,Never,Sometimes,Rarely,'\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(19.6-24.4]\'','I do not use a streaming service.','\'(1.4-2.8]\'',Yes,No,No,Rock,No,Yes,'\'(88-110]\'',Rarely,Sometimes,Rarely,Sometimes,Never,'Very frequently',Rarely,Never,'Very frequently','Very frequently','Very frequently','Very frequently','Very frequently','Very frequently','Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'',Improve
'\'(24.4-29.2]\'','Apple Music','\'(1.4-2.8]\'',Yes,No,No,R&B,No,No,'\'(110-132]\'',Rarely,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,'Very frequently','Very frequently',Rarely,Sometimes,'Very frequently',Sometimes,Sometimes,Sometimes,'\'(6-inf)\'','\'(5-6]\'','\'(4-5]\'','\'(3-4]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,Yes,No,'K pop',Yes,Yes,'\'(88-110]\'','Very frequently',Never,Never,Rarely,Rarely,Sometimes,Sometimes,'Very frequently',Rarely,'Very frequently',Never,Sometimes,'Very frequently',Sometimes,Never,Rarely,'\'(6-inf)\'','\'(1-2]\'','\'(2-3]\'','\'(4-5]\'',Improve
'\'(14.8-19.6]\'','Apple Music','\'(1.4-2.8]\'',No,No,No,Pop,Yes,No,'\'(132-154]\'',Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Never,Sometimes,Never,'Very frequently',Rarely,Rarely,'Very frequently',Rarely,'\'(6-inf)\'','\'(3-4]\'','\'(4-5]\'','\'(9-inf)\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(-inf-1.4]\'',Yes,No,No,Pop,Yes,Yes,'\'(88-110]\'',Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,'Very frequently',Sometimes,Sometimes,'Very frequently',Never,'\'(6-inf)\'','\'(4-5]\'','\'(-inf-1]\'','\'(1-2]\'',Improve
'\'(29.2-34]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,No,Classical,No,Yes,'\'(88-110]\'','Very frequently',Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,'\'(5-6]\'','\'(6-inf)\'','\'(8-9]\'','\'(4-5]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(4.2-5.6]\'',Yes,No,No,Rock,No,No,'\'(110-132]\'',Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,'Very frequently',Never,Never,'Very frequently',Never,'\'(1-2]\'','\'(6-inf)\'','\'(1-2]\'','\'(-inf-1]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,Yes,Yes,Rock,No,No,'\'(110-132]\'',Rarely,Never,'Very frequently',Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Never,'Very frequently','Very frequently','\'(6-inf)\'','\'(3-4]\'','\'(9-inf)\'','\'(1-2]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(1.4-2.8]\'',Yes,Yes,No,Rock,Yes,Yes,'\'(110-132]\'','Very frequently',Rarely,Rarely,'Very frequently',Never,Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Never,Rarely,'Very frequently','Very frequently','\'(6-inf)\'','\'(4-5]\'','\'(5-6]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,R&B,Yes,Yes,'\'(110-132]\'',Rarely,Rarely,Never,Never,Sometimes,Sometimes,Rarely,'Very frequently',Never,Rarely,Never,Sometimes,'Very frequently',Sometimes,Never,Rarely,'\'(5-6]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(-inf-1.4]\'',Yes,Yes,No,'Video game music',Yes,Yes,'\'(110-132]\'',Sometimes,Sometimes,Rarely,'Very frequently',Never,Never,Never,Rarely,Rarely,Never,'Very frequently',Rarely,Never,Never,'Very frequently','Very frequently','\'(2-3]\'','\'(5-6]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'','Apple Music','\'(2.8-4.2]\'',Yes,No,No,R&B,Yes,Yes,'\'(110-132]\'',Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Never,Sometimes,'Very frequently','Very frequently','Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(2-3]\'','\'(-inf-1]\'',Improve
'\'(29.2-34]\'',Spotify,'\'(-inf-1.4]\'',No,Yes,No,Rock,Yes,No,'\'(154-inf)\'',Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,'Very frequently',Never,'\'(6-inf)\'','\'(4-5]\'','\'(7-8]\'','\'(8-9]\'',Improve
'\'(24.4-29.2]\'','Other streaming service','\'(2.8-4.2]\'',Yes,No,No,Pop,No,No,'\'(110-132]\'',Rarely,'Very frequently',Rarely,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Rarely,'Very frequently',Rarely,Never,Sometimes,Never,'\'(6-inf)\'','\'(6-inf)\'','\'(6-7]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(4.2-5.6]\'',Yes,No,No,Rock,Yes,Yes,'\'(110-132]\'',Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,'Very frequently',Sometimes,Rarely,Rarely,'Very frequently',Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(8-9]\'','\'(2-3]\'','No effect'
'\'(19.6-24.4]\'',Spotify,'\'(4.2-5.6]\'',Yes,No,No,Country,Yes,No,'\'(66-88]\'',Never,'Very frequently',Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Never,Rarely,'Very frequently',Never,'\'(6-inf)\'','\'(6-inf)\'','\'(8-9]\'','\'(6-7]\'',Improve
'\'(29.2-34]\'',Spotify,'\'(5.6-7]\'',Yes,No,No,Rock,Yes,Yes,'\'(132-154]\'',Rarely,Sometimes,Sometimes,Sometimes,Rarely,'Very frequently',Rarely,Rarely,Sometimes,Sometimes,Sometimes,'Very frequently','Very frequently','Very frequently','Very frequently',Sometimes,'\'(6-inf)\'','\'(2-3]\'','\'(6-7]\'','\'(7-8]\'',Improve
'\'(24.4-29.2]\'','YouTube Music','\'(1.4-2.8]\'',Yes,No,No,Rock,Yes,No,'\'(154-inf)\'',Never,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Rarely,Sometimes,'Very frequently',Rarely,'Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(5-6]\'','\'(1-2]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rock,Yes,Yes,'\'(154-inf)\'',Rarely,Never,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,'Very frequently',Sometimes,Rarely,Rarely,'Very frequently',Sometimes,'\'(6-inf)\'','\'(5-6]\'','\'(2-3]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'','YouTube Music','\'(1.4-2.8]\'',Yes,No,No,Pop,No,No,'\'(110-132]\'',Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,'Very frequently',Rarely,Rarely,Sometimes,Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(7-8]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,Yes,Rock,Yes,Yes,'\'(66-88]\'',Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,'Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(3-4]\'','\'(-inf-1]\'',Improve
'\'(43.6-48.4]\'','Other streaming service','\'(2.8-4.2]\'',Yes,No,No,Folk,Yes,Yes,'\'(110-132]\'',Rarely,Rarely,Rarely,'Very frequently',Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(7-8]\'','\'(1-2]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rock,No,No,'\'(110-132]\'',Never,Rarely,Never,'Very frequently',Never,Rarely,Never,Never,Never,Never,'Very frequently',Rarely,Never,Never,'Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(2-3]\'','\'(8-9]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(4.2-5.6]\'',Yes,Yes,Yes,Metal,Yes,Yes,'\'(88-110]\'',Sometimes,Rarely,'Very frequently',Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,'Very frequently',Sometimes,Sometimes,Rarely,Sometimes,Sometimes,'\'(6-inf)\'','\'(6-inf)\'','\'(7-8]\'','\'(7-8]\'',Improve
'\'(19.6-24.4]\'','I do not use a streaming service.','\'(5.6-7]\'',Yes,No,Yes,Classical,No,Yes,'\'(88-110]\'','Very frequently',Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,'\'(5-6]\'','\'(4-5]\'','\'(5-6]\'','\'(7-8]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',No,No,No,R&B,No,Yes,'\'(132-154]\'',Sometimes,Never,Rarely,Never,Never,'Very frequently',Rarely,Rarely,Never,Rarely,Never,Sometimes,'Very frequently',Sometimes,Never,Rarely,'\'(6-inf)\'','\'(5-6]\'','\'(9-inf)\'','\'(2-3]\'',Improve
'\'(38.8-43.6]\'','YouTube Music','\'(1.4-2.8]\'',No,No,No,Metal,Yes,No,'\'(110-132]\'',Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,'Very frequently',Sometimes,Sometimes,Sometimes,'Very frequently',Rarely,'\'(6-inf)\'','\'(2-3]\'','\'(5-6]\'','\'(3-4]\'',Improve
'\'(29.2-34]\'',Spotify,'\'(-inf-1.4]\'',No,Yes,No,Rock,Yes,No,'\'(110-132]\'',Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,Rarely,Rarely,'Very frequently',Rarely,Rarely,'Very frequently',Rarely,'\'(3-4]\'','\'(1-2]\'','\'(-inf-1]\'','\'(2-3]\'',Improve
'\'(34-38.8]\'',Spotify,'\'(-inf-1.4]\'',Yes,No,No,Pop,Yes,Yes,'\'(66-88]\'',Sometimes,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Never,Never,Never,'Very frequently',Rarely,Rarely,Sometimes,Rarely,'\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'','No effect'
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',No,No,No,Rock,Yes,No,'\'(132-154]\'',Never,'Very frequently',Never,Never,Never,Never,Never,Never,Never,Never,'Very frequently','Very frequently',Never,Sometimes,'Very frequently',Rarely,'\'(6-inf)\'','\'(6-inf)\'','\'(6-7]\'','\'(2-3]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rap,Yes,Yes,'\'(154-inf)\'',Rarely,Never,Never,Sometimes,Never,'Very frequently',Sometimes,Never,Sometimes,Sometimes,Never,'Very frequently',Rarely,'Very frequently','Very frequently','Very frequently','\'(6-inf)\'','\'(6-inf)\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(-inf-1.4]\'',No,No,No,Pop,No,Yes,'\'(110-132]\'',Never,Never,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Never,'Very frequently',Sometimes,Rarely,Sometimes,Rarely,'\'(3-4]\'','\'(6-inf)\'','\'(5-6]\'','\'(1-2]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(5.6-7]\'',Yes,No,No,Rock,Yes,Yes,'\'(44-66]\'',Never,Never,Rarely,'Very frequently',Never,Rarely,Rarely,Never,'Very frequently',Rarely,Sometimes,'Very frequently',Rarely,Sometimes,'Very frequently',Rarely,'\'(3-4]\'','\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(34-38.8]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rock,Yes,No,'\'(88-110]\'',Rarely,Sometimes,Sometimes,Sometimes,Never,'Very frequently',Rarely,Never,Never,Sometimes,Sometimes,Sometimes,'Very frequently','Very frequently','Very frequently',Never,'\'(6-inf)\'','\'(1-2]\'','\'(6-7]\'','\'(6-7]\'',Improve
'\'(29.2-34]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Metal,Yes,Yes,'\'(88-110]\'',Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,'Very frequently','Very frequently',Sometimes,Sometimes,Sometimes,'Very frequently','Very frequently','\'(6-inf)\'','\'(5-6]\'','\'(6-7]\'','\'(4-5]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(1.4-2.8]\'',Yes,Yes,No,Folk,Yes,Yes,'\'(88-110]\'',Never,Sometimes,Rarely,'Very frequently',Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,'Very frequently',Rarely,'Very frequently',Rarely,'\'(5-6]\'','\'(4-5]\'','\'(3-4]\'','\'(1-2]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(2.8-4.2]\'',Yes,No,No,Rock,Yes,Yes,'\'(110-132]\'',Sometimes,Rarely,Rarely,'Very frequently',Never,Rarely,Sometimes,Never,Never,Sometimes,Sometimes,'Very frequently',Rarely,Rarely,'Very frequently',Sometimes,'\'(6-inf)\'','\'(4-5]\'','\'(1-2]\'','\'(2-3]\'',Improve
'\'(34-38.8]\'','I do not use a streaming service.','\'(7-8.4]\'',Yes,Yes,Yes,'Video game music',No,Yes,'\'(132-154]\'',Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,'Very frequently',Rarely,Never,Rarely,Sometimes,'Very frequently','\'(6-inf)\'','\'(5-6]\'','\'(5-6]\'','\'(-inf-1]\'','No effect'
'\'(14.8-19.6]\'',Spotify,'\'(2.8-4.2]\'',Yes,Yes,No,Rock,Yes,No,'\'(110-132]\'',Sometimes,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Never,Never,'Very frequently',Rarely,'\'(6-inf)\'','\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,'K pop',Yes,Yes,'\'(110-132]\'',Rarely,Never,Sometimes,Never,Never,Never,Never,'Very frequently',Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,'\'(5-6]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(24.4-29.2]\'',Spotify,'\'(5.6-7]\'',Yes,No,No,Pop,No,Yes,'\'(110-132]\'',Never,Sometimes,'Very frequently',Rarely,Rarely,Sometimes,Never,'Very frequently',Rarely,Rarely,Rarely,'Very frequently',Sometimes,Sometimes,Rarely,Sometimes,'\'(1-2]\'','\'(-inf-1]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'','YouTube Music','\'(8.4-inf)\'',Yes,No,No,'K pop',Yes,Yes,'\'(110-132]\'',Never,Never,Never,Never,Never,Sometimes,Never,'Very frequently',Sometimes,Never,Rarely,'Very frequently',Sometimes,Sometimes,Rarely,Never,'\'(2-3]\'','\'(6-inf)\'','\'(4-5]\'','\'(1-2]\'',Improve
'\'(29.2-34]\'','YouTube Music','\'(8.4-inf)\'',Yes,No,No,Pop,Yes,Yes,'\'(154-inf)\'',Rarely,Rarely,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,'Very frequently',Sometimes,'Very frequently',Never,Rarely,Sometimes,Sometimes,'\'(6-inf)\'','\'(-inf-1]\'','\'(1-2]\'','\'(-inf-1]\'',Improve
'\'(14.8-19.6]\'',Spotify,'\'(1.4-2.8]\'',Yes,No,No,Pop,Yes,Yes,'\'(154-inf)\'',Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,'Very frequently',Rarely,Sometimes,Sometimes,Never,'\'(4-5]\'','\'(3-4]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
'\'(19.6-24.4]\'',Spotify,'\'(-inf-1.4]\'',Yes,No,No,Folk,No,Yes,'\'(110-132]\'',Never,Rarely,Never,'Very frequently',Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,'Very frequently','\'(6-inf)\'','\'(3-4]\'','\'(-inf-1]\'','\'(-inf-1]\'',Improve
